"ID","Banda","nm","Reflectance","Repeticiones"
"Asys_nofloracion(SC)","Rojo",625,0.047,20
"Asys_nofloracion(SC)","Rojo",626,0.04,1
"Asys_nofloracion(SC)","Rojo",626,0.033,2
"Asys_nofloracion(SC)","Rojo",626,0.044,3
"Asys_nofloracion(SC)","Rojo",626,0.049,4
"Asys_nofloracion(SC)","Rojo",626,0.039,5
"Asys_nofloracion(SC)","Rojo",626,0.043,6
"Asys_nofloracion(SC)","Rojo",626,0.029,7
"Asys_nofloracion(SC)","Rojo",626,0.028,8
"Asys_nofloracion(SC)","Rojo",626,0.032,9
"Asys_nofloracion(SC)","Rojo",626,0.029,10
"Asys_nofloracion(SC)","Rojo",626,0.064,11
"Asys_nofloracion(SC)","Rojo",626,0.04,12
"Asys_nofloracion(SC)","Rojo",626,0.061,13
"Asys_nofloracion(SC)","Rojo",626,0.052,14
"Asys_nofloracion(SC)","Rojo",626,0.057,15
"Asys_nofloracion(SC)","Rojo",626,0.064,16
"Asys_nofloracion(SC)","Rojo",626,0.058,17
"Asys_nofloracion(SC)","Rojo",626,0.042,18
"Asys_nofloracion(SC)","Rojo",626,0.037,19
"Asys_nofloracion(SC)","Rojo",626,0.046,20
"Asys_nofloracion(SC)","Rojo",627,0.04,1
"Asys_nofloracion(SC)","Rojo",627,0.033,2
"Asys_nofloracion(SC)","Rojo",627,0.044,3
"Asys_nofloracion(SC)","Rojo",627,0.049,4
"Asys_nofloracion(SC)","Rojo",627,0.039,5
"Asys_nofloracion(SC)","Rojo",627,0.043,6
"Asys_nofloracion(SC)","Rojo",627,0.028,7
"Asys_nofloracion(SC)","Rojo",627,0.028,8
"Asys_nofloracion(SC)","Rojo",627,0.032,9
"Asys_nofloracion(SC)","Rojo",627,0.029,10
"Asys_nofloracion(SC)","Rojo",627,0.064,11
"Asys_nofloracion(SC)","Rojo",627,0.04,12
"Asys_nofloracion(SC)","Rojo",627,0.061,13
"Asys_nofloracion(SC)","Rojo",627,0.052,14
"Asys_nofloracion(SC)","Rojo",627,0.057,15
"Asys_nofloracion(SC)","Rojo",627,0.064,16
"Asys_nofloracion(SC)","Rojo",627,0.058,17
"Asys_nofloracion(SC)","Rojo",627,0.042,18
"Asys_nofloracion(SC)","Rojo",627,0.037,19
"Asys_nofloracion(SC)","Rojo",627,0.046,20
"Asys_nofloracion(SC)","Rojo",628,0.04,1
"Asys_nofloracion(SC)","Rojo",628,0.033,2
"Asys_nofloracion(SC)","Rojo",628,0.044,3
"Asys_nofloracion(SC)","Rojo",628,0.049,4
"Asys_nofloracion(SC)","Rojo",628,0.039,5
"Asys_nofloracion(SC)","Rojo",628,0.043,6
"Asys_nofloracion(SC)","Rojo",628,0.028,7
"Asys_nofloracion(SC)","Rojo",628,0.028,8
"Asys_nofloracion(SC)","Rojo",628,0.032,9
"Asys_nofloracion(SC)","Rojo",628,0.029,10
"Asys_nofloracion(SC)","Rojo",628,0.064,11
"Asys_nofloracion(SC)","Rojo",628,0.04,12
"Asys_nofloracion(SC)","Rojo",628,0.061,13
"Asys_nofloracion(SC)","Rojo",628,0.052,14
"Asys_nofloracion(SC)","Rojo",628,0.057,15
"Asys_nofloracion(SC)","Rojo",628,0.064,16
"Asys_nofloracion(SC)","Rojo",628,0.058,17
"Asys_nofloracion(SC)","Rojo",628,0.042,18
"Asys_nofloracion(SC)","Rojo",628,0.037,19
"Asys_nofloracion(SC)","Rojo",628,0.046,20
"Asys_nofloracion(SC)","Rojo",629,0.04,1
"Asys_nofloracion(SC)","Rojo",629,0.033,2
"Asys_nofloracion(SC)","Rojo",629,0.044,3
"Asys_nofloracion(SC)","Rojo",629,0.049,4
"Asys_nofloracion(SC)","Rojo",629,0.039,5
"Asys_nofloracion(SC)","Rojo",629,0.043,6
"Asys_nofloracion(SC)","Rojo",629,0.028,7
"Asys_nofloracion(SC)","Rojo",629,0.028,8
"Asys_nofloracion(SC)","Rojo",629,0.032,9
"Asys_nofloracion(SC)","Rojo",629,0.029,10
"Asys_nofloracion(SC)","Rojo",629,0.064,11
"Asys_nofloracion(SC)","Rojo",629,0.04,12
"Asys_nofloracion(SC)","Rojo",629,0.061,13
"Asys_nofloracion(SC)","Rojo",629,0.052,14
"Asys_nofloracion(SC)","Rojo",629,0.057,15
"Asys_nofloracion(SC)","Rojo",629,0.064,16
"Asys_nofloracion(SC)","Rojo",629,0.057,17
"Asys_nofloracion(SC)","Rojo",629,0.042,18
"Asys_nofloracion(SC)","Rojo",629,0.037,19
"Asys_nofloracion(SC)","Rojo",629,0.046,20
"Asys_nofloracion(SC)","Rojo",630,0.04,1
"Asys_nofloracion(SC)","Rojo",630,0.033,2
"Asys_nofloracion(SC)","Rojo",630,0.044,3
"Asys_nofloracion(SC)","Rojo",630,0.048,4
"Asys_nofloracion(SC)","Rojo",630,0.039,5
"Asys_nofloracion(SC)","Rojo",630,0.043,6
"Asys_nofloracion(SC)","Rojo",630,0.028,7
"Asys_nofloracion(SC)","Rojo",630,0.028,8
"Asys_nofloracion(SC)","Rojo",630,0.032,9
"Asys_nofloracion(SC)","Rojo",630,0.029,10
"Asys_nofloracion(SC)","Rojo",630,0.064,11
"Asys_nofloracion(SC)","Rojo",630,0.04,12
"Asys_nofloracion(SC)","Rojo",630,0.06,13
"Asys_nofloracion(SC)","Rojo",630,0.052,14
"Asys_nofloracion(SC)","Rojo",630,0.057,15
"Asys_nofloracion(SC)","Rojo",630,0.064,16
"Asys_nofloracion(SC)","Rojo",630,0.057,17
"Asys_nofloracion(SC)","Rojo",630,0.042,18
"Asys_nofloracion(SC)","Rojo",630,0.037,19
"Asys_nofloracion(SC)","Rojo",630,0.046,20
"Asys_nofloracion(SC)","Rojo",631,0.04,1
"Asys_nofloracion(SC)","Rojo",631,0.033,2
"Asys_nofloracion(SC)","Rojo",631,0.044,3
"Asys_nofloracion(SC)","Rojo",631,0.048,4
"Asys_nofloracion(SC)","Rojo",631,0.039,5
"Asys_nofloracion(SC)","Rojo",631,0.043,6
"Asys_nofloracion(SC)","Rojo",631,0.028,7
"Asys_nofloracion(SC)","Rojo",631,0.028,8
"Asys_nofloracion(SC)","Rojo",631,0.032,9
"Asys_nofloracion(SC)","Rojo",631,0.029,10
"Asys_nofloracion(SC)","Rojo",631,0.063,11
"Asys_nofloracion(SC)","Rojo",631,0.04,12
"Asys_nofloracion(SC)","Rojo",631,0.06,13
"Asys_nofloracion(SC)","Rojo",631,0.052,14
"Asys_nofloracion(SC)","Rojo",631,0.056,15
"Asys_nofloracion(SC)","Rojo",631,0.063,16
"Asys_nofloracion(SC)","Rojo",631,0.057,17
"Asys_nofloracion(SC)","Rojo",631,0.042,18
"Asys_nofloracion(SC)","Rojo",631,0.036,19
"Asys_nofloracion(SC)","Rojo",631,0.046,20
"Asys_nofloracion(SC)","Rojo",632,0.04,1
"Asys_nofloracion(SC)","Rojo",632,0.033,2
"Asys_nofloracion(SC)","Rojo",632,0.043,3
"Asys_nofloracion(SC)","Rojo",632,0.048,4
"Asys_nofloracion(SC)","Rojo",632,0.038,5
"Asys_nofloracion(SC)","Rojo",632,0.042,6
"Asys_nofloracion(SC)","Rojo",632,0.028,7
"Asys_nofloracion(SC)","Rojo",632,0.028,8
"Asys_nofloracion(SC)","Rojo",632,0.032,9
"Asys_nofloracion(SC)","Rojo",632,0.029,10
"Asys_nofloracion(SC)","Rojo",632,0.063,11
"Asys_nofloracion(SC)","Rojo",632,0.04,12
"Asys_nofloracion(SC)","Rojo",632,0.06,13
"Asys_nofloracion(SC)","Rojo",632,0.051,14
"Asys_nofloracion(SC)","Rojo",632,0.056,15
"Asys_nofloracion(SC)","Rojo",632,0.063,16
"Asys_nofloracion(SC)","Rojo",632,0.057,17
"Asys_nofloracion(SC)","Rojo",632,0.042,18
"Asys_nofloracion(SC)","Rojo",632,0.036,19
"Asys_nofloracion(SC)","Rojo",632,0.046,20
"Asys_nofloracion(SC)","Rojo",633,0.04,1
"Asys_nofloracion(SC)","Rojo",633,0.033,2
"Asys_nofloracion(SC)","Rojo",633,0.043,3
"Asys_nofloracion(SC)","Rojo",633,0.048,4
"Asys_nofloracion(SC)","Rojo",633,0.038,5
"Asys_nofloracion(SC)","Rojo",633,0.042,6
"Asys_nofloracion(SC)","Rojo",633,0.028,7
"Asys_nofloracion(SC)","Rojo",633,0.028,8
"Asys_nofloracion(SC)","Rojo",633,0.032,9
"Asys_nofloracion(SC)","Rojo",633,0.029,10
"Asys_nofloracion(SC)","Rojo",633,0.063,11
"Asys_nofloracion(SC)","Rojo",633,0.039,12
"Asys_nofloracion(SC)","Rojo",633,0.06,13
"Asys_nofloracion(SC)","Rojo",633,0.051,14
"Asys_nofloracion(SC)","Rojo",633,0.056,15
"Asys_nofloracion(SC)","Rojo",633,0.063,16
"Asys_nofloracion(SC)","Rojo",633,0.057,17
"Asys_nofloracion(SC)","Rojo",633,0.042,18
"Asys_nofloracion(SC)","Rojo",633,0.036,19
"Asys_nofloracion(SC)","Rojo",633,0.045,20
"Asys_nofloracion(SC)","Rojo",634,0.039,1
"Asys_nofloracion(SC)","Rojo",634,0.032,2
"Asys_nofloracion(SC)","Rojo",634,0.043,3
"Asys_nofloracion(SC)","Rojo",634,0.048,4
"Asys_nofloracion(SC)","Rojo",634,0.038,5
"Asys_nofloracion(SC)","Rojo",634,0.042,6
"Asys_nofloracion(SC)","Rojo",634,0.027,7
"Asys_nofloracion(SC)","Rojo",634,0.028,8
"Asys_nofloracion(SC)","Rojo",634,0.031,9
"Asys_nofloracion(SC)","Rojo",634,0.028,10
"Asys_nofloracion(SC)","Rojo",634,0.062,11
"Asys_nofloracion(SC)","Rojo",634,0.039,12
"Asys_nofloracion(SC)","Rojo",634,0.059,13
"Asys_nofloracion(SC)","Rojo",634,0.051,14
"Asys_nofloracion(SC)","Rojo",634,0.055,15
"Asys_nofloracion(SC)","Rojo",634,0.062,16
"Asys_nofloracion(SC)","Rojo",634,0.056,17
"Asys_nofloracion(SC)","Rojo",634,0.041,18
"Asys_nofloracion(SC)","Rojo",634,0.036,19
"Asys_nofloracion(SC)","Rojo",634,0.045,20
"Asys_nofloracion(SC)","Rojo",635,0.039,1
"Asys_nofloracion(SC)","Rojo",635,0.032,2
"Asys_nofloracion(SC)","Rojo",635,0.042,3
"Asys_nofloracion(SC)","Rojo",635,0.047,4
"Asys_nofloracion(SC)","Rojo",635,0.038,5
"Asys_nofloracion(SC)","Rojo",635,0.041,6
"Asys_nofloracion(SC)","Rojo",635,0.027,7
"Asys_nofloracion(SC)","Rojo",635,0.027,8
"Asys_nofloracion(SC)","Rojo",635,0.031,9
"Asys_nofloracion(SC)","Rojo",635,0.028,10
"Asys_nofloracion(SC)","Rojo",635,0.062,11
"Asys_nofloracion(SC)","Rojo",635,0.038,12
"Asys_nofloracion(SC)","Rojo",635,0.059,13
"Asys_nofloracion(SC)","Rojo",635,0.05,14
"Asys_nofloracion(SC)","Rojo",635,0.055,15
"Asys_nofloracion(SC)","Rojo",635,0.062,16
"Asys_nofloracion(SC)","Rojo",635,0.056,17
"Asys_nofloracion(SC)","Rojo",635,0.041,18
"Asys_nofloracion(SC)","Rojo",635,0.035,19
"Asys_nofloracion(SC)","Rojo",635,0.044,20
"Asys_nofloracion(SC)","Rojo",636,0.039,1
"Asys_nofloracion(SC)","Rojo",636,0.032,2
"Asys_nofloracion(SC)","Rojo",636,0.042,3
"Asys_nofloracion(SC)","Rojo",636,0.047,4
"Asys_nofloracion(SC)","Rojo",636,0.037,5
"Asys_nofloracion(SC)","Rojo",636,0.041,6
"Asys_nofloracion(SC)","Rojo",636,0.027,7
"Asys_nofloracion(SC)","Rojo",636,0.027,8
"Asys_nofloracion(SC)","Rojo",636,0.031,9
"Asys_nofloracion(SC)","Rojo",636,0.028,10
"Asys_nofloracion(SC)","Rojo",636,0.061,11
"Asys_nofloracion(SC)","Rojo",636,0.038,12
"Asys_nofloracion(SC)","Rojo",636,0.058,13
"Asys_nofloracion(SC)","Rojo",636,0.049,14
"Asys_nofloracion(SC)","Rojo",636,0.054,15
"Asys_nofloracion(SC)","Rojo",636,0.061,16
"Asys_nofloracion(SC)","Rojo",636,0.055,17
"Asys_nofloracion(SC)","Rojo",636,0.041,18
"Asys_nofloracion(SC)","Rojo",636,0.035,19
"Asys_nofloracion(SC)","Rojo",636,0.044,20
"Asys_nofloracion(SC)","Rojo",637,0.038,1
"Asys_nofloracion(SC)","Rojo",637,0.031,2
"Asys_nofloracion(SC)","Rojo",637,0.041,3
"Asys_nofloracion(SC)","Rojo",637,0.046,4
"Asys_nofloracion(SC)","Rojo",637,0.037,5
"Asys_nofloracion(SC)","Rojo",637,0.04,6
"Asys_nofloracion(SC)","Rojo",637,0.026,7
"Asys_nofloracion(SC)","Rojo",637,0.027,8
"Asys_nofloracion(SC)","Rojo",637,0.03,9
"Asys_nofloracion(SC)","Rojo",637,0.027,10
"Asys_nofloracion(SC)","Rojo",637,0.061,11
"Asys_nofloracion(SC)","Rojo",637,0.037,12
