ID,Verde,NIR
Pina_26meses(SC),0.018,0.448
Pina_26meses(SC),0.019,0.366
Pina_26meses(SC),0.02,0.36
Pina_26meses(SC),0.02,0.433
Pina_26meses(SC),0.017,0.414
Pina_26meses(SC),0.016,0.379
Pina_26meses(SC),0.019,0.46
Pina_26meses(SC),0.031,0.411
Pina_26meses(SC),0.021,0.367
Pina_26meses(SC),0.023,0.35
Pina_26meses(SC),0.02,0.399
Pina_26meses(SC),0.022,0.354
Pina_26meses(SC),0.021,0.478
Pina_26meses(SC),0.027,0.42
Pina_26meses(SC),0.02,0.499
Pina_26meses(SC),0.032,0.44
Pina_26meses(SC),0.022,0.428
Pina_26meses(SC),0.022,0.44
Pina_26meses(SC),0.017,0.417
Pina_26meses(SC),0.015,0.342
Pina_26meses(SC),0.019,0.448
Pina_26meses(SC),0.02,0.369
Pina_26meses(SC),0.021,0.366
Pina_26meses(SC),0.02,0.438
Pina_26meses(SC),0.018,0.417
Pina_26meses(SC),0.016,0.378
Pina_26meses(SC),0.02,0.461
Pina_26meses(SC),0.031,0.413
Pina_26meses(SC),0.022,0.368
Pina_26meses(SC),0.024,0.349
Pina_26meses(SC),0.021,0.399
Pina_26meses(SC),0.022,0.354
Pina_26meses(SC),0.021,0.481
Pina_26meses(SC),0.027,0.427
Pina_26meses(SC),0.021,0.503
Pina_26meses(SC),0.033,0.445
Pina_26meses(SC),0.022,0.43
Pina_26meses(SC),0.022,0.443
Pina_26meses(SC),0.018,0.42
Pina_26meses(SC),0.016,0.342
Pina_26meses(SC),0.019,0.449
Pina_26meses(SC),0.02,0.371
Pina_26meses(SC),0.021,0.369
Pina_26meses(SC),0.02,0.442
Pina_26meses(SC),0.018,0.419
Pina_26meses(SC),0.017,0.377
Pina_26meses(SC),0.021,0.463
Pina_26meses(SC),0.032,0.415
Pina_26meses(SC),0.022,0.369
Pina_26meses(SC),0.024,0.346
Pina_26meses(SC),0.021,0.399
Pina_26meses(SC),0.023,0.355
Pina_26meses(SC),0.022,0.484
Pina_26meses(SC),0.028,0.427
Pina_26meses(SC),0.021,0.503
Pina_26meses(SC),0.034,0.445
Pina_26meses(SC),0.023,0.431
Pina_26meses(SC),0.022,0.443
Pina_26meses(SC),0.018,0.422
Pina_26meses(SC),0.016,0.344
Pina_26meses(SC),0.02,0.452
Pina_26meses(SC),0.021,0.371
Pina_26meses(SC),0.021,0.368
Pina_26meses(SC),0.021,0.443
Pina_26meses(SC),0.019,0.421
Pina_26meses(SC),0.017,0.378
Pina_26meses(SC),0.021,0.465
Pina_26meses(SC),0.032,0.417
Pina_26meses(SC),0.023,0.37
Pina_26meses(SC),0.025,0.347
Pina_26meses(SC),0.021,0.4
Pina_26meses(SC),0.024,0.356
Pina_26meses(SC),0.022,0.486
Pina_26meses(SC),0.028,0.426
Pina_26meses(SC),0.022,0.502
Pina_26meses(SC),0.035,0.446
Pina_26meses(SC),0.024,0.432
Pina_26meses(SC),0.023,0.445
Pina_26meses(SC),0.019,0.424
Pina_26meses(SC),0.017,0.347
Pina_26meses(SC),0.02,0.455
Pina_26meses(SC),0.021,0.374
Pina_26meses(SC),0.022,0.369
Pina_26meses(SC),0.021,0.444
Pina_26meses(SC),0.019,0.423
Pina_26meses(SC),0.018,0.38
Pina_26meses(SC),0.022,0.468
Pina_26meses(SC),0.033,0.42
Pina_26meses(SC),0.024,0.371
Pina_26meses(SC),0.025,0.348
Pina_26meses(SC),0.022,0.403
Pina_26meses(SC),0.024,0.359
Pina_26meses(SC),0.023,0.489
Pina_26meses(SC),0.029,0.427
Pina_26meses(SC),0.023,0.501
Pina_26meses(SC),0.036,0.449
Pina_26meses(SC),0.024,0.433
Pina_26meses(SC),0.023,0.446
Pina_26meses(SC),0.019,0.426
Pina_26meses(SC),0.017,0.349
Pina_26meses(SC),0.021,0.459
Pina_26meses(SC),0.022,0.376
Pina_26meses(SC),0.022,0.369
Pina_26meses(SC),0.022,0.446
Pina_26meses(SC),0.02,0.424
Pina_26meses(SC),0.018,0.382
Pina_26meses(SC),0.023,0.471
Pina_26meses(SC),0.034,0.423
Pina_26meses(SC),0.024,0.372
Pina_26meses(SC),0.025,0.349
Pina_26meses(SC),0.022,0.406
Pina_26meses(SC),0.025,0.362
Pina_26meses(SC),0.024,0.493
Pina_26meses(SC),0.03,0.427
Pina_26meses(SC),0.024,0.5
Pina_26meses(SC),0.037,0.451
Pina_26meses(SC),0.025,0.433
Pina_26meses(SC),0.024,0.447
Pina_26meses(SC),0.02,0.427
Pina_26meses(SC),0.018,0.352
Pina_26meses(SC),0.021,0.463
Pina_26meses(SC),0.023,0.379
Pina_26meses(SC),0.023,0.369
Pina_26meses(SC),0.022,0.447
Pina_26meses(SC),0.02,0.426
Pina_26meses(SC),0.019,0.384
Pina_26meses(SC),0.023,0.474
Pina_26meses(SC),0.034,0.426
Pina_26meses(SC),0.025,0.373
Pina_26meses(SC),0.026,0.35
Pina_26meses(SC),0.023,0.41
Pina_26meses(SC),0.026,0.366
Pina_26meses(SC),0.024,0.497
Pina_26meses(SC),0.031,0.426
Pina_26meses(SC),0.025,0.5
Pina_26meses(SC),0.038,0.452
Pina_26meses(SC),0.025,0.434
Pina_26meses(SC),0.025,0.448
Pina_26meses(SC),0.021,0.429
Pina_26meses(SC),0.018,0.354
Pina_26meses(SC),0.022,0.466
Pina_26meses(SC),0.023,0.381
Pina_26meses(SC),0.024,0.37
Pina_26meses(SC),0.023,0.448
Pina_26meses(SC),0.021,0.427
Pina_26meses(SC),0.019,0.386
Pina_26meses(SC),0.024,0.477
Pina_26meses(SC),0.035,0.429
Pina_26meses(SC),0.026,0.374
Pina_26meses(SC),0.026,0.351
Pina_26meses(SC),0.024,0.413
Pina_26meses(SC),0.026,0.368
Pina_26meses(SC),0.025,0.499
Pina_26meses(SC),0.032,0.426
Pina_26meses(SC),0.026,0.5
Pina_26meses(SC),0.039,0.453
Pina_26meses(SC),0.026,0.436
Pina_26meses(SC),0.025,0.45
Pina_26meses(SC),0.021,0.43
Pina_26meses(SC),0.019,0.356
Pina_26meses(SC),0.023,0.469
Pina_26meses(SC),0.024,0.382
Pina_26meses(SC),0.024,0.37
Pina_26meses(SC),0.024,0.449
Pina_26meses(SC),0.022,0.429
Pina_26meses(SC),0.02,0.388
Pina_26meses(SC),0.025,0.479
Pina_26meses(SC),0.036,0.431
Pina_26meses(SC),0.027,0.375
Pina_26meses(SC),0.027,0.353
Pina_26meses(SC),0.024,0.415
Pina_26meses(SC),0.027,0.37
Pina_26meses(SC),0.026,0.502
Pina_26meses(SC),0.033,0.426
Pina_26meses(SC),0.027,0.501
Pina_26meses(SC),0.04,0.453
Pina_26meses(SC),0.027,0.437
Pina_26meses(SC),0.026,0.451
Pina_26meses(SC),0.022,0.432
Pina_26meses(SC),0.019,0.358
Pina_26meses(SC),0.024,0.471
Pina_26meses(SC),0.025,0.384
Pina_26meses(SC),0.025,0.371
Pina_26meses(SC),0.024,0.45
Pina_26meses(SC),0.022,0.43
Pina_26meses(SC),0.02,0.39
Pina_26meses(SC),0.026,0.48
Pina_26meses(SC),0.037,0.432
Pina_26meses(SC),0.028,0.376
Pina_26meses(SC),0.028,0.355
Pina_26meses(SC),0.025,0.417
Pina_26meses(SC),0.028,0.372
Pina_26meses(SC),0.027,0.503
Pina_26meses(SC),0.034,0.427
Pina_26meses(SC),0.028,0.502
Pina_26meses(SC),0.042,0.453
Pina_26meses(SC),0.028,0.438
Pina_26meses(SC),0.027,0.452
Pina_26meses(SC),0.023,0.433
Pina_26meses(SC),0.02,0.359
Pina_26meses(SC),0.024,0.472
Pina_26meses(SC),0.026,0.385
Pina_26meses(SC),0.026,0.372
Pina_26meses(SC),0.025,0.451
Pina_26meses(SC),0.023,0.431
Pina_26meses(SC),0.021,0.392
Pina_26meses(SC),0.027,0.482
Pina_26meses(SC),0.038,0.434
Pina_26meses(SC),0.029,0.376
Pina_26meses(SC),0.028,0.356
Pina_26meses(SC),0.026,0.419
Pina_26meses(SC),0.029,0.373
Pina_26meses(SC),0.028,0.505
Pina_26meses(SC),0.035,0.428
Pina_26meses(SC),0.029,0.503
Pina_26meses(SC),0.043,0.454
Pina_26meses(SC),0.029,0.439
Pina_26meses(SC),0.028,0.454
Pina_26meses(SC),0.024,0.434
Pina_26meses(SC),0.021,0.36
Pina_26meses(SC),0.025,0.474
Pina_26meses(SC),0.027,0.386
Pina_26meses(SC),0.027,0.373
Pina_26meses(SC),0.026,0.452
Pina_26meses(SC),0.024,0.432
Pina_26meses(SC),0.022,0.393
Pina_26meses(SC),0.028,0.483
Pina_26meses(SC),0.039,0.435
Pina_26meses(SC),0.03,0.377
Pina_26meses(SC),0.029,0.358
Pina_26meses(SC),0.027,0.42
Pina_26meses(SC),0.03,0.374
Pina_26meses(SC),0.029,0.507
Pina_26meses(SC),0.036,0.428
Pina_26meses(SC),0.03,0.504
Pina_26meses(SC),0.045,0.455
Pina_26meses(SC),0.029,0.44
Pina_26meses(SC),0.029,0.455
Pina_26meses(SC),0.025,0.435
Pina_26meses(SC),0.022,0.361
Pina_26meses(SC),0.026,0.475
Pina_26meses(SC),0.028,0.387
Pina_26meses(SC),0.027,0.374
Pina_26meses(SC),0.027,0.454
Pina_26meses(SC),0.025,0.433
Pina_26meses(SC),0.023,0.394
Pina_26meses(SC),0.029,0.484
Pina_26meses(SC),0.04,0.436
Pina_26meses(SC),0.031,0.378
Pina_26meses(SC),0.03,0.359
Pina_26meses(SC),0.027,0.421
Pina_26meses(SC),0.031,0.375
Pina_26meses(SC),0.03,0.508
Pina_26meses(SC),0.037,0.429
Pina_26meses(SC),0.032,0.505
Pina_26meses(SC),0.047,0.455
Pina_26meses(SC),0.03,0.442
Pina_26meses(SC),0.03,0.456
Pina_26meses(SC),0.026,0.436
Pina_26meses(SC),0.023,0.362
Pina_26meses(SC),0.027,0.476
Pina_26meses(SC),0.029,0.388
Pina_26meses(SC),0.028,0.375
Pina_26meses(SC),0.028,0.455
Pina_26meses(SC),0.026,0.434
Pina_26meses(SC),0.023,0.395
Pina_26meses(SC),0.031,0.485
Pina_26meses(SC),0.041,0.437
Pina_26meses(SC),0.032,0.379
Pina_26meses(SC),0.03,0.359
Pina_26meses(SC),0.028,0.422
Pina_26meses(SC),0.032,0.376
Pina_26meses(SC),0.031,0.509
Pina_26meses(SC),0.038,0.43
Pina_26meses(SC),0.033,0.506
Pina_26meses(SC),0.048,0.456
Pina_26meses(SC),0.032,0.443
Pina_26meses(SC),0.031,0.457
Pina_26meses(SC),0.027,0.438
Pina_26meses(SC),0.023,0.363
Pina_26meses(SC),0.028,0.477
Pina_26meses(SC),0.03,0.389
Pina_26meses(SC),0.029,0.376
Pina_26meses(SC),0.029,0.456
Pina_26meses(SC),0.027,0.435
Pina_26meses(SC),0.024,0.397
Pina_26meses(SC),0.032,0.486
Pina_26meses(SC),0.042,0.438
Pina_26meses(SC),0.034,0.379
Pina_26meses(SC),0.031,0.36
Pina_26meses(SC),0.029,0.423
Pina_26meses(SC),0.033,0.377
Pina_26meses(SC),0.032,0.511
Pina_26meses(SC),0.039,0.431
Pina_26meses(SC),0.035,0.507
Pina_26meses(SC),0.05,0.457
Pina_26meses(SC),0.033,0.444
Pina_26meses(SC),0.031,0.458
Pina_26meses(SC),0.028,0.439
Pina_26meses(SC),0.024,0.364
Pina_26meses(SC),0.029,0.479
Pina_26meses(SC),0.031,0.39
Pina_26meses(SC),0.03,0.377
Pina_26meses(SC),0.03,0.457
